epoch,loss,mae,val_loss,val_mae
0,2358.97216796875,37.990196228027344,6619.55712890625,81.26779174804688
1,2353.27880859375,37.9881706237793,6619.11328125,81.26506805419922
2,2348.860595703125,37.98614501953125,6618.69384765625,81.26248931884766
3,2344.740478515625,37.9841194152832,6618.28564453125,81.2599868774414
4,2340.349609375,37.98209762573242,6617.88232421875,81.25750732421875
5,2336.542724609375,37.980072021484375,6617.48046875,81.25504302978516
6,2332.1787109375,37.97804260253906,6617.08837890625,81.25263977050781
7,2328.341064453125,37.976016998291016,6616.69921875,81.25025177001953
8,2325.142822265625,37.9739875793457,6616.31982421875,81.24791717529297
9,2322.672607421875,37.971961975097656,6615.94775390625,81.24563598632812
10,2320.038330078125,37.969932556152344,6615.58251953125,81.24339294433594
11,2317.5478515625,37.96790313720703,6615.21728515625,81.24114990234375
12,2314.1845703125,37.96587371826172,6614.853515625,81.2389144897461
13,2310.98095703125,37.96384048461914,6614.48828125,81.2366714477539
14,2307.864501953125,37.96180725097656,6614.12353515625,81.23442840576172
15,2305.71875,37.959774017333984,6613.76025390625,81.2322006225586
16,2303.670654296875,37.957740783691406,6613.400390625,81.22998809814453
17,2301.68359375,37.95570755004883,6613.04443359375,81.2278060913086
18,2299.7119140625,37.953670501708984,6612.68994140625,81.22563171386719
19,2298.001220703125,37.951637268066406,6612.34619140625,81.22351837158203
20,2296.41015625,37.9495964050293,6612.01318359375,81.22146606445312
21,2295.092529296875,37.94755554199219,6611.68896484375,81.219482421875
22,2293.876708984375,37.94551467895508,6611.36962890625,81.21752166748047
23,2292.898193359375,37.9434700012207,6611.0625,81.21563720703125
24,2292.10546875,37.94142532348633,6610.759765625,81.21377563476562
25,2291.181640625,37.93938064575195,6610.46337890625,81.21195220947266
26,2290.400146484375,37.93733596801758,6610.17822265625,81.210205078125
27,2289.701904296875,37.9352912902832,6609.900390625,81.20849609375
28,2289.11083984375,37.9332389831543,6609.63037109375,81.20684051513672
29,2288.6484375,37.93119430541992,6609.365234375,81.20520782470703
30,2288.37890625,37.92914581298828,6609.11474609375,81.20367431640625
31,2288.12109375,37.927093505859375,6608.87353515625,81.20220184326172
32,2287.879150390625,37.925045013427734,6608.638671875,81.20075225830078
33,2287.662841796875,37.922996520996094,6608.41015625,81.19935607910156
34,2287.366943359375,37.92094421386719,6608.19140625,81.19800567626953
35,2287.0849609375,37.91889190673828,6607.97705078125,81.19669342041016
36,2286.8544921875,37.916839599609375,6607.77294921875,81.1954345703125
37,2286.652587890625,37.91478729248047,6607.57568359375,81.1942367553711
38,2286.422119140625,37.91273498535156,6607.38427734375,81.19306182861328
39,2286.16162109375,37.910682678222656,6607.1953125,81.19190216064453
40,2285.919921875,37.90863037109375,6607.00634765625,81.19073486328125
41,2285.6884765625,37.906578063964844,6606.82373046875,81.18961334228516
42,2285.45166015625,37.90452575683594,6606.64599609375,81.18852996826172
43,2285.21240234375,37.902469635009766,6606.474609375,81.1874771118164
44,2284.96728515625,37.90041732788086,6606.31005859375,81.18646240234375
45,2284.721435546875,37.89836502075195,6606.15673828125,81.1855239868164
46,2284.480224609375,37.89631271362305,6606.0078125,81.18460845947266
47,2284.253662109375,37.894256591796875,6605.86328125,81.18373107910156
48,2284.04052734375,37.89220428466797,6605.72216796875,81.18286895751953
49,2283.8408203125,37.8901481628418,6605.58935546875,81.18204498291016
